url_entropy,domain_extension
-3.8980685120588388,0.0
-4.396853998737205,1.0
-4.286275219617124,1.0
-4.396853998737205,1.0
-4.842396171330023,2.0
-3.893660689688186,3.0
-4.424826839999619,4.0
-4.150158513166729,2.0
-4.332786847524101,1.0
-4.087567554701195,1.0
-4.137537511266052,1.0
-5.584713998038233,1.0
-4.226474118254375,1.0
-4.059531433357949,5.0
-4.7505910931042825,6.0
-4.791687071388867,1.0
-4.306256857196538,7.0
-4.142295219190901,7.0
-4.142295219190901,7.0
-4.073329701949522,7.0
-4.129236619374021,1.0
-4.13131538381421,1.0
-4.767331069621427,6.0
-4.162294909570876,7.0
-4.310443057719024,7.0
-4.0081320258334,7.0
-4.134336113194451,7.0
-4.208966082694623,7.0
-4.161978179679554,7.0
-4.134336113194451,7.0
-4.307354922057604,7.0
-4.23636898364495,7.0
-4.375222374437917,7.0
-4.306256857196538,7.0
-4.085055102756478,7.0
-4.237291339955158,7.0
-4.185230132909402,7.0
-4.1162646156680225,7.0
-4.238901256602631,7.0
-5.123522389550281,1.0
-4.783619821972114,1.0
-4.83857099846324,1.0
-4.410451883362375,1.0
-4.701285846838487,6.0
-4.757165300764848,6.0
-4.799282220073435,6.0
-4.187938066371977,6.0
-4.768724915763129,1.0
-4.171743778067191,1.0
-5.19271191892625,1.0
-4.208966082694623,1.0
-4.369124534838602,6.0
-4.924136177250043,1.0
-5.453692538526056,1.0
-4.588900405207241,1.0
-4.343895379828961,8.0
-4.18177186825896,9.0
-4.131300342505361,1.0
-4.68676631306743,6.0
-4.3391617338435395,10.0
-4.09306920777189,7.0
-4.276351106101957,6.0
-4.791687071388867,1.0
-4.477238228225255,1.0
-4.344187428818823,1.0
-4.3617409343229445,1.0
-4.28022625367366,7.0
-4.134336113194451,7.0
-4.162294909570876,7.0
-4.13294404498096,7.0
-4.444187891679296,7.0
-4.168325822713779,7.0
-4.28022625367366,7.0
-4.2600670152711055,1.0
-4.077212078381127,9.0
-4.092325102644249,9.0
-4.015319531114783,9.0
-3.866433150225384,11.0
-4.8657876398737905,1.0
-4.175070520364182,1.0
-4.171474187957335,1.0
-4.777114648336087,1.0
-3.539572261986723,11.0
-3.273349455962949,11.0
-4.13294404498096,7.0
-3.5555331514269954,11.0
-4.23636898364495,7.0
-4.23636898364495,7.0
-4.28022625367366,7.0
-4.23636898364495,7.0
-4.1427308737169435,1.0
-3.5726236638951643,11.0
-4.655839495214353,1.0
-4.665291524309925,1.0
-4.101846066682375,1.0
-4.066677073707229,1.0
-3.6416041678685938,1.0
-3.683542362433231,1.0
-3.683542362433231,1.0
-5.24615711897243,9.0
-4.8526656365761776,1.0
-3.7946534735443422,1.0
-5.0081320258334,12.0
-4.131300342505361,1.0
-4.1162646156680225,7.0
-4.237291339955158,7.0
-4.444187891679296,7.0
-4.306256857196538,7.0
-4.282484261342599,13.0
-4.082597923010944,14.0
-4.011411723741875,1.0
-4.648243205915917,15.0
-4.0586949695628425,15.0
-4.808985545926398,16.0
-3.720175521464345,17.0
-3.7192945256669794,8.0
-5.280028425709443,1.0
-3.921029621737615,17.0
-3.1358218241480365,18.0
-3.882045108136862,17.0
-4.361742952124951,11.0
-5.218482441506033,1.0
-4.785703959795563,1.0
-4.9908787424382535,9.0
-4.819642015091775,1.0
-5.740980039129102,12.0
-4.830687940987955,1.0
-4.039148671903071,17.0
-4.119079570624175,10.0
-3.8482499068019154,10.0
-4.344044161760534,16.0
-4.6032541772370275,1.0
-4.072392522926828,11.0
-3.7489948035250964,19.0
-5.569505530165678,1.0
-5.56417390432354,1.0
-5.554882772681065,1.0
-5.511866370275254,1.0
-5.555949505223079,1.0
-5.483682290698405,1.0
-4.3016963733083955,1.0
-4.177567157116929,1.0
-3.873140679513133,8.0
-4.350637512968596,1.0
-4.413594141492791,1.0
-4.301148048674386,1.0
-4.311641344913578,1.0
-3.783465189601647,8.0
-3.936180434129755,6.0
-4.697299717551716,1.0
-4.8465171897443895,1.0
-4.441554545214993,1.0
-3.841580194853941,1.0
-4.469397949863992,1.0
-3.8239348962840563,20.0
-3.8035088547976783,1.0
-3.729446194905256,20.0
-3.733660689688186,1.0
-4.202819531114783,15.0
-4.195816471537619,15.0
-3.5464393446710156,20.0
-3.4613201402110088,20.0
-3.9523029776623857,15.0
-3.869331261111518,15.0
-3.8492239123906242,21.0
-3.8962915290459277,20.0
-3.8841550945958043,20.0
-4.20483401847097,17.0
-4.141105590449127,17.0
-4.066254681239142,22.0
-3.9093680639438846,1.0
-3.873235826376329,23.0
-3.8565647621309544,17.0
-4.341310040533734,17.0
-4.1287347499440905,17.0
-4.806307206933297,1.0
-4.278211371786786,1.0
-4.101881223476019,1.0
-4.505229681327448,1.0
-4.464413354796835,1.0
-4.594107879923024,1.0
-5.110281727512881,9.0
-4.04716007463276,1.0
-4.031401845392172,24.0
-4.349720309783237,1.0
-4.21506101220307,9.0
-3.9262723741395074,17.0
-4.354552444952288,1.0
-5.314437386525823,9.0
-4.733028739174398,25.0
-5.0087602882193405,9.0
-5.206882572933536,9.0
-4.927810645584781,9.0
-4.732246033101597,26.0
-4.39226564990975,1.0
-3.716131679634791,17.0
-3.970233384151408,17.0
-4.358886057992096,17.0
-4.431909944222437,27.0
-4.448354380150306,1.0
-4.15666432377391,1.0
-4.162573265150912,1.0
-4.743070514811475,9.0
-4.1558184643976634,28.0
-3.8936606896881862,17.0
-4.160786441387166,29.0
-3.934177320667444,30.0
-4.035367908896077,5.0
-4.29139326152937,5.0
-3.4316235658474312,1.0
-4.973113154816242,1.0
-3.8526761974263786,23.0
-4.334065681338157,23.0
-4.771346818857625,23.0
-4.493787641935516,23.0
-4.62439825240356,23.0
-4.521828528850025,31.0
-4.445436371429644,1.0
-4.198603750787607,5.0
-4.554713520661083,1.0
-4.566882651641292,1.0
-3.399079570624175,32.0
-4.322141635651545,33.0
-3.879893823520666,17.0
-3.5220552088742005,17.0
-4.143541333622538,1.0
-4.386015934528989,22.0
-5.831748594586897,32.0
-3.8225797618424915,34.0
-5.620772219253822,1.0
-3.9857808213564603,23.0
-4.178468412993378,5.0
-4.101881223476019,1.0
-5.533039892809545,9.0
-4.993338399697665,9.0
-4.622085133395088,9.0
-4.128759699958298,1.0
-3.6818808028034034,1.0
-3.8431390622295662,13.0
-4.233618885307021,1.0
-4.066677073707229,17.0
-4.002268084440845,1.0
-4.899614407398905,22.0
-4.231401845392172,8.0
-4.208966082694623,8.0
-3.7034651896016473,8.0
-4.311990460304224,1.0
-4.3055793605018,28.0
-3.7034651896016473,8.0
-5.3635440541119825,1.0
-4.18233683402497,32.0
-4.006198332810095,35.0
-4.466830129043385,5.0
-4.514128366594226,5.0
-4.647702008038567,1.0
-4.137537511266052,1.0
-3.918208434154617,1.0
-4.1162996057016965,17.0
-3.5383105956150063,1.0
-4.160420091146166,5.0
-4.1806892889443334,5.0
-4.261836855537891,5.0
-4.189561096343497,5.0
-4.057575159678483,17.0
-4.3038609005169235,16.0
-3.991215710201985,17.0
-4.104281809855787,36.0
-4.736520779466659,5.0
-4.560127508153629,5.0
-4.653101912811179,5.0
-4.007048827786958,37.0
-4.689550478304833,25.0
-4.155853855230228,27.0
-4.08869623155392,23.0
-4.261095807768472,23.0
-4.3970552088742005,23.0
-3.8711781263822163,17.0
-4.131300342505361,17.0
-4.1272831343132905,17.0
-5.5261761128049605,1.0
-5.635777146699622,1.0
-5.4986336420633215,1.0
-5.551785227541995,1.0
-5.502392952383692,1.0
-4.145972171840238,1.0
-4.023465189601647,1.0
-4.159517480745797,17.0
-3.7950885863977315,17.0
-3.7834651896016473,17.0
-3.9217212310452405,23.0
-4.246439344671016,23.0
-4.401772534304548,38.0
-3.884183719779189,31.0
-4.080414513985238,29.0
-4.642459014806119,16.0
-4.822029442712831,16.0
-4.473115735861757,38.0
-4.486080308654123,38.0
-3.6978458230844127,39.0
-3.8442328987631917,40.0
-3.939470994001287,40.0
-4.283381405994074,12.0
-4.043801694853791,31.0
-4.265979129983103,1.0
-3.7532696895151085,1.0
-4.183546039377806,27.0
-3.1358218241480365,18.0
-3.1358218241480365,18.0
-3.1358218241480365,18.0
-3.9137995646056796,1.0
-3.7532696895151085,41.0
-4.347691161328113,15.0
-3.042481250360578,11.0
-3.4906015629507228,11.0
-3.9292292966721747,1.0
-3.808719697344071,1.0
-4.116729296672175,11.0
-4.015319531114783,11.0
-4.003928031846025,11.0
-3.923231428797621,11.0
-4.031401845392172,11.0
-3.884858891889048,1.0
-4.012188403968661,17.0
-4.106377316818026,42.0
-4.422738561139236,1.0
-4.348752859555049,17.0
-3.2390979179887864,18.0
-3.1322576082309257,11.0
-3.1322576082309257,11.0
-4.100816878908575,17.0
-3.9483943455364034,1.0
-4.019143808983937,23.0
-5.150370425661106,1.0
-5.298919001528316,1.0
-5.063578295020044,1.0
-5.080422780944438,1.0
-4.931413456980328,1.0
-4.68362289739196,1.0
-4.685634118151632,1.0
-4.742175309869273,1.0
-4.777699223827325,1.0
-4.914281113927329,26.0
-4.902940079970109,26.0
-4.832380644770488,26.0
-4.192976596049577,1.0
-5.313816312652341,1.0
-4.375070520364182,43.0
-4.72610334957361,44.0
-4.648134538882721,11.0
-4.627986806877676,45.0
-4.840006304237072,44.0
-4.238334671954105,11.0
-4.6281080952417355,45.0
-3.9362600275315276,46.0
-4.297902689682946,1.0
-5.4286243799773315,1.0
-4.324862957617356,1.0
-4.733835975380765,1.0
-4.547789463752857,1.0
-4.786502545299146,1.0
